V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,Class
0.001610181,0.001851877,0.445163989,0.710982233,0.482693311,0.346400484,0.786718914,0.296912274,0.212884286,0.414957872,0.263199387,0.713078438,0.320458188,0.356076239,0.016858974,0.019919028,0.034425,0.527667441,0.230586269,0.362185186,0.248501123,0.17060508,0.162477362,0.229794607,0.089471703,0.097084589,0.116629955,0.389641034,-0.004053314,-0.199162104,-0.381719733,-0.153621487,-0.308124827,0.012884615,0.017773279,0.0314,0.42851016,0.19888561,0.288475695,0.19793569,0.118123912,0.115230426,0.15354554,0.016862035,0.010181552,0.044797901,0.081267895,0.073131274,0.388865928,0.20192758,4
0.127630171,0.085960674,0.548309906,0.907728858,0.999993324,0.60791012,0.184482648,0.370349248,0.051021912,0.696017072,0.165622014,0.016758401,0.100480701,0.488193587,0.124935897,0.132408907,0.116225,0.145947708,0.076964782,0.054060359,0.086296933,0.073462466,0.127956948,0.12706817,0.189566208,0.182418721,0.406828146,0.573279523,0.220862946,0.203199861,-0.108354082,0.022526669,0.005845339,0.108076923,0.112489879,0.0818,-0.381719733,-0.153621487,-0.308124827,-0.16220419,-0.097142613,-0.034520414,-0.102726437,0.100094505,0.085334133,0.290198191,0.183638489,0.22491626,0.402361965,0.197057011,2
0.034725452,0.109287675,0.510307898,0.922363428,0.999993324,0.598585656,0.159466672,0.365388035,0.054599924,0.720091154,0.181255631,0.037664084,0.092847973,0.499544013,0.043141026,0.058259109,0.049125,0.037593626,0.09949145,0.059905698,0.098223511,0.088067585,0.089522025,0.083557002,0.100946994,0.092201491,0.013159017,0.009135102,0.050272949,0.084287429,-0.023434415,-0.030901613,0.013868567,-0.081794871,-0.074149798,-0.0671,-0.108354082,0.022526669,0.005845339,0.011926578,0.014605119,-0.038434923,-0.043511168,-0.088619214,-0.090217231,-0.393669129,-0.564144421,-0.170589997,-0.118912432,0.147489327,2
0.033371917,0.276991505,0.473962517,0.927030005,0.999993324,0.604929558,0.140142789,0.369036888,0.092530259,0.730661563,0.221072632,0.070249864,0.08536103,0.52362522,0.053333333,0.090931174,0.0769,0.014159211,0.068589837,0.073774265,0.075600055,0.0647544,0.079908117,0.061898325,0.100867416,0.090687466,0.147289589,0.377388369,0.088488539,0.118021741,-0.014159211,-0.025806557,-0.027123733,0.010192307,0.032672065,0.027775,-0.023434415,-0.030901613,0.013868567,-0.022623456,-0.023313185,-0.009613908,-0.021658677,-7.96E-05,-0.001514024,0.134130571,0.368253267,0.038215589,0.033734312,0.091890829,4
0.171605794,0.153856965,0.456074297,0.928769637,0.999993324,0.595534394,0.12108075,0.371287524,0.086636921,0.736614163,0.203324789,0.112569059,0.081785617,0.531500227,0.056858974,0.102449393,0.070725,0,0.04278328,0.046650532,0.057880363,0.042538828,0.040464202,0.039072674,0.0968956,0.082419607,0.13389802,0.33952127,0.066873148,0.00410909,0,-0.008904654,-0.038680683,0.003525641,0.011518219,-0.006175,-0.014159211,-0.025806557,-0.027123733,-0.017719692,-0.022215573,-0.039443915,-0.022825651,-0.003971817,-0.008267859,-0.013391569,-0.037867099,-0.021615391,-0.113912651,0.026526683,4
0.235639599,0.203879418,0.435927041,0.94525568,0.999993324,0.5752335,0.173066962,0.366964093,0.031380727,0.734298428,0.124493681,0.167160821,0.07107981,0.462777964,0.037820513,0.049352227,0.06535,0,0.033878626,0.007969849,0.038744551,0.041705969,0.037000364,0.034539829,0.071333913,0.049690885,0.066540559,0.20329017,-0.04970095,-0.179576728,0,-0.00362755,-0.007969849,-0.019038461,-0.053097166,-0.005375,0,-0.008904654,-0.038680683,-0.019135812,-0.000832858,-0.003463838,-0.004532846,-0.025561687,-0.032728722,-0.067357461,-0.1362311,-0.116574098,-0.183685818,0.052499167,4
0,0,0.673410308,0.74609565,0,0.434254017,0.46944828,0.178401251,0.182766185,0.123046824,0.200712956,0,0.530720054,0.050555907,0.019679487,0.020283401,0.12555,0.262466941,0.231280134,0.244402603,0.162539033,0.184574737,0.179097268,0.156551411,0.038805307,0.027371556,0.138829657,0.427859614,0.190154753,0.571925951,0.28875877,0.324848042,0.378881099,0.019487487,0.020202401,0.1254,0.205541899,0.207321035,0.21788357,0.135174454,0.153290086,0.147601782,0.128554983,0.017080494,0.02345085,0.089374477,0.178699111,0.179586678,0.433546093,0.11979989,1
0,0,0.675083668,0.603111128,0,0.429406409,0.397064196,0.253113788,0.320429966,0.148316344,0.334083855,0,0.419450322,0.113341848,0.104679487,0.187894737,0.46065,0.551225711,0.556128176,0.623283702,0.527283529,0.496000282,0.46967816,0.462445408,0.114314845,0.106775744,0.356330094,0.558523699,0.480036662,0.600184056,-0.120480662,-0.080563143,-0.216009788,0.085,0.167611336,0.3351,0.28875877,0.324848042,0.378881099,0.364744496,0.311425545,0.290580892,0.305893997,0.075509538,0.079404188,0.217500436,0.130664085,0.289881909,0.028258105,0.176172782,4
0.008052824,0.015150793,0.422172021,0.68162016,0.663844445,0.370226896,0.869095367,0.294796554,0.20730181,0.516143884,0.287021413,0,0.334828576,0.441580669,0.640192308,0.405647773,0.629425,0.430745049,0.475565032,0.407273913,0.485951288,0.531187926,0.53004246,0.440705386,0.598411488,0.580184482,0.643846988,0.564633611,0.664879932,0.675247213,0.192992126,0.211177133,0.289792203,0.535512821,0.217753036,0.168775,-0.120480662,-0.080563143,-0.216009788,-0.041332241,0.035187643,0.0603643,-0.021740022,0.484096642,0.473408739,0.287516894,0.006109911,0.18484327,0.075063157,0.20927751,2
0.007274566,0.000650834,0.420883534,0.516671125,0.056518178,0.409859956,0.862417673,0.339839942,0.400851823,0.32373567,0.436432762,0,0.300181388,0.429694368,0.240897436,0.288643725,0.471525,0.623737175,0.686742165,0.697066116,0.564091794,0.45956188,0.46012585,0.47034693,0.167426139,0.171383229,0.302508455,0.320308073,0.323401338,0.444048859,0.016085771,-0.032220952,-0.022200267,-0.399294872,-0.117004048,-0.1579,0.192992126,0.211177133,0.289792203,0.078140506,-0.071626045,-0.06991661,0.029641544,-0.430985348,-0.408801253,-0.341338532,-0.244325538,-0.341478593,-0.231198353,0.218647785,2
0.001236389,0,0.417252343,0.436233388,0.002899151,0.410940092,0.910274886,0.382963848,0.454327264,0.272549044,0.476427572,0,0.251632884,0.485332477,0.559807692,0.713178138,0.756675,0.639822946,0.654521214,0.674865849,0.688403307,0.644420509,0.653934324,0.685023612,0.430034549,0.448486387,0.64460206,0.633524817,0.559948398,0.435041278,-0.112352215,-0.138464309,-0.146524214,0.318910256,0.424534413,0.28515,0.016085771,-0.032220952,-0.022200267,0.124311513,0.184858628,0.193808475,0.214676682,0.26260841,0.277103158,0.342093605,0.313216744,0.23654706,-0.009007582,0.178781449,4
0.000532317,0,0.417151941,0.383641776,0.014709375,0.409809612,0.976356638,0.405598995,0.40270101,0.296946919,0.431012243,0,0.226233126,0.562100388,0.690961538,0.737813765,0.69855,0.527470731,0.516056904,0.528341635,0.533157292,0.547521703,0.531454874,0.54724006,0.515447544,0.539323189,0.679219928,0.572164722,0.524191362,0.304319966,-0.184382249,-0.181499183,-0.189652519,0.131153846,0.024635627,-0.058125,-0.112352215,-0.138464309,-0.146524214,-0.155246015,-0.096898805,-0.12247945,-0.137783552,0.085412995,0.090836801,0.034617868,-0.061360095,-0.035757036,-0.130721312,0.100778106,4
0.000287532,0,0.44103079,0.417400277,0,0.397633279,0.97599629,0.388250083,0.31915308,0.258005681,0.343079043,0,0.244746917,0.56184696,0.558974359,0.730202429,0.57615,0.343088482,0.334557721,0.338689117,0.365735382,0.374720581,0.367733645,0.363516173,0.345603959,0.390595104,0.407860255,0.23758207,0.329209283,0.10098133,-0.184482964,-0.195525888,-0.198586783,-0.131987179,-0.007611336,-0.1224,-0.184382249,-0.181499183,-0.189652519,-0.16742191,-0.172801122,-0.163721229,-0.183723887,-0.169843585,-0.148728085,-0.271359674,-0.334582652,-0.194982079,-0.203338636,0.062642815,4
0,0,0.465913655,0.481456602,0,0.398695469,0.879072927,0.354778768,0.183248122,0.221408868,0.208648765,0,0.282482459,0.449199747,0.386410256,0.603218623,0.411975,0.158605518,0.139031833,0.140102334,0.159024896,0.157572134,0.164189885,0.155751449,0.16098312,0.232263121,0.221404714,0.109742738,0.129735245,0.015809437,-0.152091025,-0.112042081,-0.115789489,-0.172564103,-0.126983806,-0.164175,-0.184482964,-0.195525888,-0.198586783,-0.206710486,-0.217148447,-0.20354376,-0.207764724,-0.184620839,-0.158331982,-0.186455541,-0.127839332,-0.199474038,-0.085171892,0.038530797,4
0.000476824,0,0.786512718,0.82111933,0,0.411572844,0.556276236,0.228559164,0.1763579,0.230005096,0.201195434,0,0.379912129,0.074351498,0.020448718,0.020283401,0.113775,0.305104379,0.221667221,0.218376763,0.147831522,0.168427005,0.154635074,0.138461905,0.052786929,0.176828981,0.141963175,0.432065519,0.184755752,0.571337377,0.291704335,0.31944946,0.364372182,0.020256718,0.020202401,0.113625,0.237983846,0.200074909,0.199151319,0.120597878,0.136542687,0.125451524,0.108834901,0.071715466,0.071994007,0.08784387,0.167609936,0.108605427,0.12927397,0.095505047,1
