V1,V10,V56,V59,Class
0.001610181,0.414957872,4,2,4
0.127630171,0.696017072,2,2,2
0.034725452,0.720091154,2,2,2
0.033371917,0.730661563,4,4,4
0.171605794,0.736614163,4,4,4
0.235639599,0.734298428,2,2,4
0,0.123046824,1,2,1
0,0.148316344,4,4,4
0.008052824,0.516143884,1,2,2
0.007274566,0.32373567,2,2,2
0.001236389,0.272549044,4,4,4
0.000532317,0.296946919,4,4,4
0.000287532,0.258005681,4,4,4
0,0.221408868,2,4,4
0.000476824,0.230005096,1,1,1
0.000385773,0.245918773,2,2,2
0,0.154796133,2,2,2
1.32E-05,0.176390875,4,4,4
0,0.18961567,4,4,4
0,0.199149121,4,4,4
0,0.203075624,4,4,4
0,0.217584831,4,4,4
0.002579104,0.456359664,2,2,2
0.000583451,0.511314313,1,1,1
9.88E-05,0.245992804,2,2,2
7.38E-06,0.26688036,4,4,4
0,0.272401492,4,4,4
0,0.268544666,4,4,4
0,0.258717479,4,4,4
0,0.240253078,2,2,4
6.95E-05,0.273396097,2,2,2
0,0.395042551,2,2,2
0,0.442439295,2,2,4
0,0.460756145,2,2,2
0,0.341980111,4,4,4
0,0.400996517,4,4,4
0,0.304144141,4,4,4
0.030943149,0.585242961,2,2,2
0.019597964,0.689774834,2,2,4
0,0.38087353,2,2,4
0.003340166,0.43786384,4,4,4
0.00041213,0.49330896,2,2,2
5.27E-05,0.526193765,2,4,2
0.010538057,0.54861336,4,4,4
0.000915311,0.582805633,2,2,4
0.012694548,0.45614107,2,2,2
0.007231436,0.388114473,2,2,4
0.004525938,0.477820176,2,2,2
0.007332072,0.449098229,2,2,2
0.016494849,0.464352024,3,4,4
0.024535916,0.53561382,4,4,4
0.00070685,0.487482051,2,4,4
0.000137776,0.316840381,2,2,4
0.001516133,0.31634991,1,2,2
0.000705053,0.310207405,2,2,1
0.007565692,0.546100889,4,4,2
0.011253293,0.469443909,4,4,4
0.009592794,0.565972493,4,4,4
0.014926517,0.524246908,4,4,4
0.017815018,0.515266774,4,4,4
0.02370943,0.60457081,2,2,4
0.001245973,0.465475054,1,2,2
0.002166675,0.446665,2,2,2
0.000661324,0.431777351,4,4,4
0,0.273450746,4,4,4
0,0.243497839,4,4,4
0,0.245917407,4,4,4
0,0.236896286,4,4,4
0,0.199139557,2,2,4
0.007367415,0.495050885,2,2,2
0.004640052,0.547447978,2,2,2
0.067943869,0.615392603,2,2,2
0.074993201,0.674682253,2,2,2
0.071092347,0.700813854,4,2,2
0.05165996,0.706849794,4,4,4
0.02568861,0.719387553,4,4,4
0.023783709,0.70809305,1,2,4
0.0001845,0.333335041,1,2,2
0,0.316665164,2,2,2
0,0.293482196,4,4,4
0,0.299928,4,4,4
0,0.298761252,4,4,4
0,0.274610663,4,4,4
0.029486431,0.63978228,2,2,2
0.045765549,0.485629463,4,4,4
0.123000022,0.648183138,2,2,2
0.193312082,0.590466002,2,2,2
0.200558494,0.615717762,4,4,4
0.216582801,0.683540793,4,4,4
0.011219917,0.488361894,2,2,2
0.036484247,0.393601193,2,2,2
0.013700583,0.542901213,4,4,4
0.02072149,0.535160237,2,2,2
0.024627137,0.433229637,2,2,4
0.02372141,0.401683724,2,2,2
0.01659061,0.460706962,4,4,4
0.015517157,0.429766282,4,4,2
0.011549212,0.452513768,2,2,4
0.001485583,0.264543021,1,2,1
0.001945635,0.317268006,4,4,4
0.036168598,0.517734159,2,2,2
0.038911274,0.597709677,2,2,4
0.03945474,0.595482745,2,2,2
0.042557636,0.54054859,4,4,4
0.044540747,0.461951584,4,4,4
0.012598398,0.504820691,2,2,4
0.000551104,0.191685486,1,1,1
0.000250393,0.289528369,2,2,2
0.001514336,0.232970637,4,4,4
0.014122625,0.328828067,4,4,4
0.027746862,0.393610757,4,4,2
0.026045629,0.56667746,3,4,4
0.027185518,0.548326454,4,4,4
0.007681903,0.449140582,4,4,4
0.035802556,0.475639696,2,2,2
0.019131485,0.546704757,2,2,2
0.005091717,0.453233764,2,2,2
0.00042411,0.229908692,2,2,2
0.006193924,0.252206864,4,4,4
0.01897593,0.43378842,4,4,4
0.034532622,0.482621057,4,4,4
0.011180212,0.417784573,4,4,4
0.004765847,0.329565311,2,4,4
0.000249195,0.170022774,1,2,2
0.000385773,0.189062353,2,2,4
0.014987618,0.471296498,2,2,2
0.023455443,0.509580586,4,4,2
0.030631768,0.597611309,4,4,4
0.02777202,0.589926347,4,4,4
0.0117748,0.616021061,4,4,4
0.003961522,0.43967954,2,4,4
1.32E-05,0.151223651,1,1,1
6.35E-05,0.15719128,4,4,4
0.014204435,0.367387789,2,2,2
0.008308778,0.284948644,4,4,4
0.01155321,0.38004697,4,4,4
0.010018848,0.33381834,4,4,4
0.006004829,0.322678219,2,4,2
0.01384886,0.294479533,2,2,4
4.79E-05,0.152731953,1,2,2
5.57E-05,0.1634868,2,2,2
3.47E-05,0.172570766,2,2,4
0.001607785,0.208593768,4,4,4
0.002714784,0.365847893,4,4,4
0.005907589,0.38221652,4,4,4
0.007856819,0.377518106,4,4,4
0.008456443,0.510857997,4,4,4
0,0.130238582,2,2,2
0,0.146436432,2,2,2
0,0.187226159,2,2,2
0.000131786,0.236322817,4,2,4
8.39E-05,0.244184704,4,4,4
5.63E-05,0.246223439,4,4,4
2.04E-05,0.210744191,4,4,4
5.51E-05,0.218858144,4,4,4
0.000111419,0.206868238,4,4,4
9.64E-05,0.16384065,2,2,4
0.00027675,0.117887995,1,1,1
0.000289329,0.150589727,2,2,2
2.81E-05,0.189568621,2,2,2
2.75E-05,0.194437642,4,4,4
0,0.198349885,4,4,4
3.59E-05,0.194150139,4,4,4
0.000128192,0.176621595,4,4,4
2.04E-05,0.159265194,4,4,4
0.000978808,0.204210949,2,2,2
0.004371688,0.209981843,2,2,2
0.012190169,0.338031491,4,4,2
0.017462791,0.280900975,4,4,4
0.0095892,0.371305924,4,4,4
0.006373631,0.415243412,2,2,2
0.004309389,0.363308099,4,4,4
0.006077713,0.287887544,4,4,4
0.008773328,0.212140463,4,2,4
0.160305571,0.597855861,1,2,2
0.007775351,0.227386317,2,2,2
0.035766615,0.392450584,4,4,4
0.022331671,0.4671514,4,4,4
0.033789831,0.490448105,4,4,4
0.02493863,0.530209072,4,4,4
0.044090673,0.560802733,2,2,4
0.019370089,0.517828428,4,2,2
0.158272085,0.592594566,2,4,2
0.145312637,0.593486705,4,4,2
0.203312214,0.604445118,4,4,4
0.163429564,0.600454403,4,4,4
0.205102439,0.594825596,2,2,4
