Wind,,Month,hours,windspeedat100mms,mwh,ncf,,,Solar,,Month,Wh,ncf
,1,1,744,6.813165435,467.9453132,41.90%,,,,0,1,20036.95292,12.24%
,2,2,672,8.319947545,584.3613595,58.00%,,,,1,2,24185.77246,16.36%
,3,3,744,7.204327733,510.4988732,45.70%,,,,2,3,28973.16931,17.70%
,4,4,720,7.373493403,512.1906028,47.40%,,,,3,4,30208.65438,19.07%
,5,5,744,6.716068996,420.6618476,37.70%,,,,4,5,34770.34702,21.24%
,6,6,720,5.165903472,239.8075169,22.20%,,,,5,6,32713.24212,20.65%
,7,7,744,6.155823813,354.6632607,31.80%,,,,6,7,35418.34369,21.64%
,8,8,744,5.47881194,285.9230908,25.60%,,,,7,8,33992.68732,20.77%
,9,9,720,6.442773032,396.328045,36.70%,,,,8,9,29731.42036,18.77%
,10,10,744,7.271210013,504.4880949,45.20%,,,,9,10,25504.76144,15.58%
,11,11,720,7.052725,471.6834554,43.70%,,,,10,11,19138.33649,12.08%
,12,12,744,8.706912074,691.553014,62.00%,,,,11,12,17866.73944,10.93%
