Wind,,Month,hours,windspeedat100mms,mwh,ncf,,,Solar,,Month,Wh,ncf
,1,1,744,8.376621528,413.3964678,37.00%,,,,0,1,26432.06354,16.15%
,2,2,672,6.736097842,288.2168906,28.60%,,,,1,2,26847.91745,18.16%
,3,3,744,6.973065076,382.0937555,34.20%,,,,2,3,34451.63144,21.05%
,4,4,720,6.440810532,339.5683981,31.40%,,,,3,4,36840.41361,23.26%
,5,5,744,4.74465401,222.0774844,19.90%,,,,4,5,38157.37919,23.31%
,6,6,720,4.380301042,187.9276302,17.40%,,,,5,6,35819.85016,22.61%
,7,7,744,4.599632841,216.0997061,19.40%,,,,6,7,35061.05154,21.42%
,8,8,744,4.742358423,215.7370487,19.30%,,,,7,8,34979.76288,21.37%
,9,9,720,5.380627778,268.6482233,24.90%,,,,8,9,33776.53289,21.32%
,10,10,744,4.608652106,206.9663512,18.50%,,,,9,10,31482.95682,19.23%
,11,11,720,4.408793056,224.8983286,20.80%,,,,10,11,25915.02894,16.36%
,12,12,744,6.09586828,312.7701036,28.00%,,,,11,12,25576.4577,15.65%
