Wind,,Month,hours,windspeedat100mms,mwh,ncf,,Solar,,Month,Wh,ncf
,1,1,744,6.179115815,387.5736907,34.70%,,,0,1,24215.84642,14.79%
,2,2,672,7.153508681,455.7250824,45.20%,,,1,2,23356.92659,15.80%
,3,3,744,6.373673947,410.2357877,36.80%,,,2,3,32597.20658,19.92%
,4,4,720,6.987245139,456.2560094,42.20%,,,3,4,34440.41977,21.74%
,5,5,744,6.225130824,381.3521194,34.20%,,,4,5,34155.31771,20.87%
,6,6,720,4.691675347,193.47466,17.90%,,,5,6,34034.78967,21.49%
,7,7,744,5.072544131,230.6897703,20.70%,,,6,7,33878.82408,20.70%
,8,8,744,4.146094534,141.3793484,12.70%,,,7,8,32241.97411,19.70%
,9,9,720,4.740018403,197.737732,18.30%,,,8,9,29538.81628,18.65%
,10,10,744,5.566598902,310.6303208,27.80%,,,9,10,32026.30603,19.57%
,11,11,720,5.918233102,355.6634304,32.90%,,,10,11,24730.08928,15.61%
,12,12,744,5.298108311,298.2791945,26.70%,,,11,12,23873.05639,14.60%
,,,,,,,,,,,,
